#OTU ID,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
D_0__Archaea;D_1__Euryarchaeota;D_2__Methanobacteria;D_3__Methanobacteriales;D_4__Methanobacteriaceae,0,2.05E-05,0.001549417,0,0,0,0,0,5.23E-05,0,0.00480738,0,0.002002812,0.005684256,0,0,0,0,0.047508466,0,0,0,0,0.010163866,0,0,0,0,0.015356265,0.003447116,0,0,0,0.048505993,0.003550554,0,0.003207698,0,0.084038804,7.98E-05,0.025210608,0.001253482,0.049351852,0.00422126,0.04748327,0,0,5.93E-05,0,0,0,0.0017239,0.056994253,0.000317058,0.027512297,1.93E-05,0.01310717,0.035092455,4.81E-05,0,0.063404174,0.013693704,0,0,0,0,0.024374869,0,0,0.006494444,0.028128866,0,0.118288679,0,3.61E-05,0.089991446,0.016829148,0.01070029,0,0,0.032525165,0,0,0,0.000165071,0,4.48E-05,0,0.000610128,0,0,0,0,0,0.092393175,0.003962424,0,0,0,0,1.50E-05,0.049744898,0,0.007930742,0.022267133,4.43E-05,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae,0,4.11E-05,0,0.00116272,7.59E-05,3.78E-05,2.85E-05,7.24E-05,0,6.66E-05,3.25E-05,9.21E-05,4.26E-05,0,6.59E-05,0,0,0,0,4.14E-05,9.50E-05,0.000880818,0.000254421,0,0.002309879,0.000313853,6.66E-05,0.002820432,8.78E-05,4.20E-05,0.000137306,0.000143864,0.000399308,0.000562715,5.46E-05,0.000139587,0.000801925,0.000138863,0.000109,0.000239311,0,0.000487465,0.002037037,0.000164465,0,0,0.000925069,0.000207573,0.000288002,0.000256562,0.000609869,0,0.000254601,0.00052843,0.000199944,0.000173394,0.000183574,0.000269942,0.000528999,0.000264358,6.40E-05,0,3.22E-05,0.000837673,0.000576065,4.36E-05,7.00E-05,0.000103643,2.90E-05,0.000360802,0.001075674,0.000183332,0.000423594,0.000153846,0.000216787,0.000342173,4.30E-05,0.000408928,0.000102664,7.81E-05,5.41E-05,0.000370617,5.03E-05,0.001222295,0,0.000117103,4.48E-05,0.000534632,0.004270897,0.000793756,0.000264326,0.000742302,0.000165112,0.000327457,0.000590058,0,0.000175917,0.000299341,8.22E-05,0.000915541,0.000947197,0.00908801,0.001523328,3.03E-05,0,0.000266028,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae,0.009133425,0.00100647,0.032239802,0.002509026,0.005771129,0.005934157,0.00482361,0.006263124,0.005598577,0.006989283,0.004190216,0.014005989,0.034133038,0.004504505,0.000395439,0.037578042,0.00979388,0.003054495,0.004547654,0.02520591,0.02204904,0.02391761,0.144383666,0.003733665,0.113361763,0.017826878,0.029956064,0.012535255,0,0.008996133,0.032587304,0.011509135,0.005856515,0.007090203,0.008248211,0,0.003207698,0.003425292,0.046288559,0.000159541,0,0,0.044537037,0.025601667,0.003375036,0.004401935,0.000132153,0,0.00316802,0.005798291,0.004613794,0.001999724,0.023932494,0.015430142,0.012636462,0.006531163,0.036090612,0.046295047,0.01572569,0.030037671,0.043144284,0.001228538,0.002805004,0.041228102,0.05098171,0.003792998,0.001610983,0.013162668,0.018540514,0.000144321,0.008336471,0.003556631,0.038494123,0.006153846,0.024280088,0.032677502,0.030753008,0.01070029,0.173887377,0.108669753,0.001298842,0.044918835,0.023537408,0.033001956,0.003961704,0.012003045,0.004816416,0.089580611,0.033557047,0.006614632,0.132744766,0.021111078,0.004127797,0.008131856,0.009539263,0.022973153,0.006992699,0.023348633,0.009393914,0.016327153,0.024702309,0.004145408,0.023701944,0.00012108,0.007145693,0.004788508,0.03117338
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Corynebacteriales;D_4__Nocardiaceae,0.000165062,0.000780528,8.94E-05,0.000122392,0.000569519,0.000415769,2.85E-05,7.24E-05,5.23E-05,0,0,0.000460723,8.52E-05,0,0,0.000235599,0.000256049,0.000138841,4.84E-05,0.000124167,0,0.001219595,0.000763262,0.00034571,0,0.000376624,0.001664226,0.000626763,0.001491751,0,0,0,0.000665513,0,0.000163872,0,0,0.00101833,3.63E-05,0,0.00024961,0,0.000833333,0.000657859,0,0.000652138,0.001189375,0.140853423,0.000115201,2.57E-05,5.30E-05,0,0.000436459,0.001004016,0.000359899,0.000134862,0.000293718,0.002159536,0.000240454,3.30E-05,3.20E-05,5.99E-05,3.22E-05,0.013111411,0.000288032,0.000130793,0.000140085,0.00440483,5.79E-05,0.001226728,0,7.33E-05,0,0.000615385,0,0.057912746,4.30E-05,0.017038678,0.000102664,3.91E-05,0.000595303,0,0,8.15E-05,0,0,8.96E-05,0.005643341,0,0,0.000528653,2.97E-05,0,0,0,8.90E-05,0.000175917,0.011724207,0,0,0.001804186,0.004065689,0.003304846,0.00012108,7.22E-05,0.000133014,5.84E-05
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Propionibacteriales;D_4__Propionibacteriaceae,0,0.000184862,0.000119186,0.000183587,7.59E-05,0,2.85E-05,0,0,0,0,4.61E-05,4.26E-05,0,0,0,6.40E-05,0,0,0,0,6.78E-05,0.00012721,0,0.000177683,0,0,0.000940144,0,0,4.58E-05,0.000143864,0,0,0,0.000279174,0,0,0,0,0.000124805,0,9.26E-05,0,0,0.000380414,0,2.97E-05,0.000172801,0,0.000159096,0,0,0,4.00E-05,0,3.67E-05,0.000269942,0.000384726,0.000165224,0,0,0,3.64E-05,9.60E-05,6.54E-05,0,0,0,0.000144321,0,0,5.29E-05,7.69E-05,7.23E-05,0,2.15E-05,0,0,3.91E-05,5.41E-05,0,0,0,0,0,0,0,0,0,7.93E-05,0,0,0,0,4.45E-05,0,4.99E-05,0,0.000457771,1.50E-05,7.97E-05,0.000335648,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae,0.003576341,0.002403204,0.007031972,0.036227893,0.008087174,0.009827267,0.000856262,0.003222069,0.000523231,0.004859216,0.007340999,0.002580051,0.0140623,0.013299013,0.006656561,0.007480269,0.004864934,0.001666088,0.013594582,0.003228343,0.024234936,0.01131513,0.190433787,0.010233008,0.031627576,0.027368025,0.053521502,0.045440301,0.002544753,0.015932403,0.011991395,0.018126888,0.025555703,0.013054977,0.006718741,0.016610832,0.026864475,0.002314386,0.043926898,0.015714742,0.00798752,0.009888579,0.038703704,0.011073954,0.006051789,0.005869246,0.02960222,0.005604484,0.013478486,0.017882341,0.032800361,0.00310302,0.029970175,0.015113084,0.00667813,0.010538484,0.035246172,0.027264138,0.03871309,0.024618333,0.036935092,0.002337219,0.002063451,0.030593291,0.064183189,0.003836596,0.003221965,0.017515676,0.011732669,0.013133208,0.02979616,0.01099989,0.036534999,0.004846154,0.010188966,0.01094953,0.016549379,0.001465326,0.030747908,0.012070077,0.004221236,0.020124527,0.010220522,0.031290743,0.002971278,0.015223374,0.012477878,0.02797909,0.164734594,0.006879217,0.020115246,0.031740847,0.007182366,0.009277957,0.012587894,0.005253551,0.01161052,0.032827779,0.006244351,0.036392767,0.052892711,0.026466837,0.0191836,0.009656133,0.008156195,0.008734593,0.009865733
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae,0.088913343,0.73562699,0.009981824,0.000917936,0.053382945,0.014249537,0.060937322,0.002172182,0.098995396,0.178725954,0.009939583,0.062428012,0.100822432,0.147254397,0.018322019,0.031805866,0.133657662,0.56528983,0.012772134,0.048300981,0.019102832,0.094247578,0.197430352,0.071631059,0.029140014,0.116565187,0.01238184,0.001566907,0.512723763,0.062762738,0.076204861,0.192058697,0.038200453,0.071689832,0.02163107,0.100642099,0.054931836,0.180985003,0.000326999,0.013002553,0.192948518,0.012534819,0.007407407,0.091880928,0.000407332,0.215097006,0.045064094,0.00026688,0.005184033,0.00200118,0.004401665,0.145359261,0.000800175,0.097336715,0.106610149,0.133378287,0.003194184,0.145633689,0.059584496,0.03274734,0.073806171,0.138854763,0.014089502,0.023564118,0.003264366,0.059990409,0.15801639,0.088407524,0.032967351,0.027781787,0.000161351,0.070069299,0.005347877,0.172076923,0.050438993,0.318135158,0.026147589,0.201499404,0.112288897,0.020194918,0.006061262,0.013231043,0.003373276,0.000814863,0.523935292,0.026231044,0.004592397,0.041582512,0.000610128,0.026061648,0.023974413,0.112087651,0.053413688,0.009823719,0.024684073,0.113218468,0.235464861,0.063510277,0.031906444,3.81E-05,0.004014313,0.18614477,0.033874674,0.104915849,0.035475838,0.002128226,0.034909515
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidales S24-7 group,0.02525447,6.16E-05,0,0,0.012833169,0,0,0.087213091,0,0,0.038588969,0,0,0,0,0,0,0,9.68E-05,0.095650014,0.013685611,0,0.003180257,0.046048538,0,6.28E-05,0.007455732,0.000313381,0,0.009542627,0,0,0,0,0.109083957,0.000139587,0,0,0.022090615,0,0.04049922,0,0,0,0.014663951,0.000163035,0,0,0.053913945,0.000230905,0,0,7.27E-05,0,0,0,0.014098469,0.007693346,0.017264596,0.067477364,0.000352068,0.000569323,0.006738458,0,0.007872882,0,0.08531204,5.18E-05,0,0.019483331,0.000914323,0,0.065551202,0,0.013621419,0.001283148,0.000107603,0.007905946,0,0,0.011473103,0,0,8.15E-05,0,0,4.48E-05,0,0,0,0.010943117,0,0,0.058669432,0.000835915,0,0.027794881,0,0,3.81E-05,0.029708925,0.007892219,0,0.011865843,0.02187015,0,0.042790426
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Porphyromonadaceae,0.003631362,0.003060491,0.000893895,0.000244783,0.050041765,0.016441773,0.009590136,0.001303309,0.023545416,0.02502829,0.006463977,0.02289795,0.030170026,0.064457314,0.014169907,0.012251149,0.022852388,0.022075668,0.000967586,0.017921444,0.017867326,0.04051765,0.033456303,0.064509438,0.006574271,0.029188375,0.001863933,0.000626763,0.035626536,0.006179586,0.022472424,0.003740469,0.009317184,0.010579033,0.014857705,0.008375209,0.024458701,0.007868913,3.63E-05,0.000398851,0.021466459,0.000835655,0.013611111,0.00882627,0.000349142,0.017009945,0.040042289,0,0.005529635,0.000256562,0.001034126,0.022824438,0.001964065,0.019763264,0.01003719,0.004932087,0.000807725,0.00823323,0.004616716,0.002412266,0.011554218,0.014982171,0.007415527,0.014713916,0.001632183,0.03025679,0.018141066,0.00440483,0.012080304,0.006205802,5.38E-05,0.006489935,0.004130043,0.024307692,0.005058352,0.061420017,0.003378742,0.028965752,0.003875571,0.007480323,0.000865895,0.003409681,0.001560769,0.000407432,0.012050182,0.005738041,0.001635341,0.00380183,0.001220256,0.006614632,0.006264538,0.002078447,0.000330224,0.003656606,0.007179033,0.011709185,0.00985135,0.01860906,0.070769315,3.81E-05,0.001022372,0.024394133,0.002220444,0.006235622,0.002201451,0.000886761,0.010858144
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prevotellaceae,0.028335626,8.22E-05,0.004082119,0,0.011314451,0,0.076292956,0.001846354,0,0,0.375267979,0.000138217,0.000681808,0.003968254,0.000922692,0.144539993,0.00390475,0,0.037929366,0.002731675,0.404295761,0.037197642,0.014247551,0.001037129,0.005152807,0.00175758,0.000532552,0.00689439,0,0.217000168,4.58E-05,0,0.03300945,0.089584154,0.013710603,0.032244556,0.006816359,0.000185151,0.000181666,0,0.036068643,0,0.008055556,0.002302505,0,5.43E-05,0.017444165,8.90E-05,0.013363286,0.015881161,0.001405351,0.011998345,0.002109551,0.000475587,4.00E-05,0.190309219,0.009912986,0.000134971,0,0.029013284,6.40E-05,0.152188895,0.108427908,0.000473468,0.007008785,0.000108994,0.001751068,0.000155465,0,0.003896666,0.003227021,0.014446522,0.018532246,0.000153846,0.034577447,0.000598802,0.000882347,0.029919918,0,0.007285014,0,0,0,0.000896349,0.070980522,5.86E-05,0.000358431,0.001722704,0.001220256,0.000661463,5.29E-05,0.006740105,8.26E-05,0,0.005703889,4.45E-05,0.002506817,0.000399122,0.003779476,0.004196231,0.004194732,0.021205357,0.00028401,0.056665456,3.61E-05,0.000266028,0.025394046
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae,0.019477304,0.084379172,0.067071899,0.000979132,0.126281418,0.017122123,0.036134262,0.006226921,0.042434073,0.107568395,0.007730787,0.024925132,0.089316913,0.034856285,0.02326501,0.057368359,0.104660095,0.041999306,0.083357523,0.069202434,0.02936704,0.023646589,0.022516219,0.302046602,0.003909026,0.018768439,0.025029956,0.000626763,0.005616006,0.029384564,0.006499153,0.018414617,0.035139092,0.043385291,0.020429344,0.049832496,0.011627907,0.091788558,0.002506994,0.006461391,0.030826833,0.000139276,0.202962963,0.009922702,0.000989235,0.007445248,0.004493194,0,0.002304015,0.023270134,0.001325803,0.051510137,0.044300575,0.055062355,0.013716159,0.022753107,0.005360355,0.006208665,0.006347985,0.006377635,0.014562796,0.029215234,0.003901212,0.014859599,0.006144688,0.031564721,0.113749387,0.020262217,0.023928851,0.014287776,0.000484053,0.005096616,0.056073282,0.071769231,0.048632438,0.00615911,0.020250931,0.093440109,0.018274216,0.007070174,0.003138868,0.016381291,0.003599839,0.000162973,0.041762958,0.02605539,0.021886691,0.013781632,0.001220256,0.00502712,0.014590823,0.001633065,0.030298027,0.006385417,0.009735949,0.032011041,0.008444014,0.055028936,0.062553063,0,0.00760765,0.012755102,0.002943379,0.03614239,0.040023097,0.005542254,0.014944542
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__uncultured,0.004016506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00546494,0,0,0,0,0,0,0,0,0,0,0.002308892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000403862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017023097,0,0.015232578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012351765,0,0,7.97E-05,0,0,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales;D_4__Flavobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.001704521,0.002145002,0,0.000530098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144848,0,0,0,0.000158848,0,0,0,0,0,0,5.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03E-05,0,0,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Sphingobacteriia;D_3__Sphingobacteriales;D_4__Chitinophagaceae,0,0,5.96E-05,0.000122392,0,0,5.71E-05,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,4.14E-05,0,0,0,0,0.000355366,0,0,0.000626763,0,0,0,0,0,0,0,0.000279174,0,4.63E-05,0,0,0,0.000139276,0,5.48E-05,0,0.000163035,0,2.97E-05,5.76E-05,0,0.000265161,0,3.64E-05,5.28E-05,0,7.71E-05,0,0,4.81E-05,6.61E-05,0,0,0,0.000109262,4.80E-05,4.36E-05,0,0.000155465,2.90E-05,7.22E-05,0,3.67E-05,0,7.69E-05,3.61E-05,8.55E-05,2.15E-05,0,5.13E-05,5.86E-05,0,0,5.03E-05,0.000733377,0,5.86E-05,0,5.94E-05,0,0,0,5.94E-05,8.26E-05,0,0,0,0,0.000149671,2.74E-05,3.81E-05,3.01E-05,0,0.000103276,0,0,8.87E-05,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Chloroplast;D_3__Elodea nuttallii;D_4__,0,0,0,0,0,7.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.28E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000696379,0,0,0,0,0.000396458,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-05,0,0,0,5.79E-05,7.22E-05,0.000107567,3.67E-05,0,0,0,0,0,0,0,0,0,0,2.52E-05,0,0,0,0,0,0,0,0,0.000118768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__ML635J-21;D_3__uncultured cyanobacterium;D_4__,0,0,0,0,0,0,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58E-05,0,0,5.63E-05,0,0,0,0,0,0,0,0,0,0,0,5.43E-05,0,0,0,0,2.65E-05,0,0,0,0,0,0,0,0,0,0,0,0,7.28E-05,0,0,7.00E-05,0,0,7.22E-05,0,0,0,0,3.61E-05,0,0,0,0,3.91E-05,0,0,2.52E-05,0,0,0,2.24E-05,0,0,0,0,5.94E-05,0,0,0,0,0,0,0,3.81E-05,0,0,2.58E-05,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria;D_3__Gastranaerophilales;D_4__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087101,0,0,0,0,0,0,0,2.64E-05,0,0,0.000109152,9.83E-05,0,0,0,0,0,0,0,0,0,0,4.43E-05,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Family XI,0,0,0,0,0,3.78E-05,2.85E-05,0,5.23E-05,0,0,0,4.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41E-05,0,0,0,5.63E-05,0,0,0.000801925,0,0,7.98E-05,0,0.000139276,0,0,0,5.43E-05,0,2.97E-05,5.76E-05,2.57E-05,0,0,0,0,0,1.93E-05,0,0.000134971,0,6.61E-05,0,0,0,0.000145682,9.60E-05,0,0,0,0,0,0,0.000146665,0,0,3.61E-05,0.000171086,0,0.000136309,0,9.77E-05,0,3.71E-05,0,0.000162973,0,0,2.24E-05,0,0,0,5.29E-05,0.000118768,0,5.46E-05,0,0,0,0,0,0,1.50E-05,7.97E-05,0.000361468,0,0,4.43E-05,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Staphylococcaceae,0,6.16E-05,5.96E-05,0.000183587,0,0,0,7.24E-05,0,0,3.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66E-05,0,0,0,0,0,0,5.63E-05,0,0.000139587,0,0,3.63E-05,0,6.24E-05,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0.000369901,0,0,7.34E-05,0.000337427,9.62E-05,3.30E-05,0,0,0,0,4.80E-05,0,0,0,0,0,0.001344592,0,0,0,0,0,0,0,0,0.000429679,0,7.41E-05,0,0,0.000165071,0,0,0,0.003660769,0,5.29E-05,0,8.26E-05,0,0,0,0,0.000299341,0,0,0,0,0,0,0,0.000266028,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae,0,0,0,6.12E-05,0,7.56E-05,0.00014271,0,5.23E-05,6.66E-05,3.25E-05,0,4.26E-05,0,0,5.89E-05,0,0,0,0,0,0,0.00012721,3.46E-05,0,0,0,0.000626763,0,4.20E-05,0,0,0.000133103,5.63E-05,0,0.000139587,0.000400962,0,0,7.98E-05,0,0.000278552,9.26E-05,0,0,0,0.000132153,0.000237227,0.000172801,0,2.65E-05,0,0,5.28E-05,0,5.78E-05,0,6.75E-05,9.62E-05,0,0,5.99E-05,3.22E-05,0.000145682,0,0,7.00E-05,0.000310929,0,7.22E-05,0,0.000403329,0,0.000153846,0,8.55E-05,0,6.82E-05,5.13E-05,5.86E-05,0,0.000296494,2.52E-05,0,0,0,0,0,0.001830384,0,7.93E-05,8.91E-05,0.00041278,5.46E-05,0,4.45E-05,0,0,0,3.81E-05,9.02E-05,0,0.000129096,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000376624,0.000931966,0.015669069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047652937,0,0,0,0,0,0.001321074,0,0,0.000146859,0,0,0,0,0,0,0,0,0,0,5.18E-05,8.69E-05,0,0,0,0.000105899,0,3.61E-05,0,0,0,0,0,0,3.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-05,0,0,4.51E-05,0.000159439,2.58E-05,0,0,0,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae,0,0,0,0.002325439,0,0,0,0,0,0,3.25E-05,0,0,0,0,5.89E-05,0,0,0,0,9.50E-05,0,0,0.00072599,0,0,0.000133138,0.002820432,0.0001755,0,0,0,0,5.63E-05,5.46E-05,0.000139587,0,0,0,7.98E-05,6.24E-05,0,0,0,0,0,0,5.93E-05,0,0,0,0,0,0,0,0,0.000110144,0,9.62E-05,0.000165224,0,3.00E-05,0,3.64E-05,4.80E-05,6.54E-05,0,0.000103643,5.79E-05,7.22E-05,0.000107567,0,0,0,7.23E-05,0,0.001571007,0,2.57E-05,0,0,0,0,0,0.000165071,0.000234206,0,0,0.000610128,0,2.64E-05,0,0,0.000109152,4.92E-05,0,0,0,0,0,0,7.97E-05,0,0,0,0.00044338,0.000291886
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Streptococcaceae,0.000110041,0.000164322,0.000476744,0.042959427,0.000835295,0.000415769,0.00097043,0.000289624,0.000575555,0.000199694,0.000454752,0.000184289,0.001534069,0.000643501,0.000263626,0.001177995,0.002944565,0.000277681,0.000435414,0.000248334,0.000190078,0.000880818,0.002162575,0.001659407,0.022921109,0.003012994,0.001464519,0.014728925,0.00026325,0.000504456,0.000549224,0.000575457,0.001996539,0.001069158,0.000163872,0.019681742,0.003608661,0,3.63E-05,0.002074027,0.009609984,0.007451253,0.001574074,0.000383751,0.000407332,0.001086897,0.007004097,0.005278297,0.001036807,0.005413449,0.001458383,0.000620604,0.001636721,0.004755866,0.000919742,0.000924766,0.004405772,0.01450938,0.003895354,0.000396537,0.001856356,0.000299643,0.000515863,0.004115526,0.002784312,0.000130793,7.00E-05,0.001295538,0.000521452,0.009453024,0.01957726,0.024053093,0.001376681,0.001153846,0.00032518,0.000940975,0.001355801,0.000681547,0.021893127,0.010937286,5.41E-05,0.004262101,0.002467022,0.017682529,0.000165071,0.027402073,0.001433724,0.001603897,0.007931666,0.010451118,0.002378938,0.004097509,0.00041278,0.001255253,0.000540886,0.00026713,0.000439792,0.000149671,0.003040013,0.016746777,0.003593337,0.004384566,0.002065529,0.0003027,0.000108268,0.003458367,0.000875657
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae,0.008253095,0.001396734,0.011620631,0.00116272,0.008239046,0.006236535,0.011702249,0.017124032,0.049026789,0.060840045,0.007568375,0.015434232,0.003068138,0.053946804,0.049429908,0.024620097,0.093585969,6.94E-05,0.012578616,0.005339183,0.01197491,0.002100413,0.015138023,0.009334163,0.022743426,0.009164522,0.029956064,0.027577562,0.007634258,0.016605011,0.020641677,0.002445691,0.018368162,0.012154634,0.009886928,0.011027359,0.02085004,0.001758934,0.051011881,0.007977026,0.015787832,0.003830084,0.008055556,0.004330903,0.008786733,0.003260692,0.010836527,0,0.02188814,0.021730764,0.029379789,0.02675493,0.024405325,0.027689706,0.007957772,0.006704556,0.03091383,0.00269942,0.002356449,0.050954993,0.065516579,0.024660654,0.003127418,0.004224788,0.008064903,0.045712168,0.011066751,0.007099549,0.021553347,0.029008515,0.019738611,0.026583068,0.021921,0.016384615,0.012320699,0.016338751,0.056254977,0.009337195,0.038524716,0.015097361,0.040805282,0.034096805,0.087554123,0.028112777,0.000660284,0.020610106,0.02025135,0.00380183,0.05552166,0.082418309,0.00787693,0.019953086,0.0146124,0.029907766,0.081722968,0.051066293,0.075292462,0.023298743,0.075699066,0.031967651,0.016824032,0.026785714,0.001781519,0.009141543,0.025623444,0.023055777,0.01780502
